,Index,Base,Base_weight,Base2,Base2_weight,Prep,Prep2,Calc.T,Calc.t,Support,Support2,Support_frac,Support2_frac,Promoter,Promoter_weight,Promoter2,Promoter2_weight,T,H2,O2,CO,H2O,CO2,CH4,TOS,F/W,Pt,Au,Ru,Rh,Ir,Cu,Pd,IWI,WI,CI,SI,SGP,CP,HDP,UGC,SCT,FSP,ME,DP,Calc T (oC),Calc T. (hr),Al2O3,MgO,CeO2,TiO2,ZEO,MnO,Y203,ZrO2,HAP,ACC,Tb4O7,HfO2,La2O3,Co3O4,ThO2,SiO2,Fe2O3,Sm2O3,Gd2O3,Yb2O3,CaO,Li,Ce,Co,Mg,Fe,Mn,Zr,K,Ni,Ca,Cs,V,Rb,Y,Na,La,Gd,Yb,Zn,Re,Ti,Cr,Ho,Nd,Tm,Sm,Er,Sr,YSZ,Temperature (C),H2 vol.%,O2 vol.%,CO vol.%,H2O vol.%,CO2 vol.%,CH4 vol.%,TOS (min),F/W (mg.min/ml),CO Conversion
10,27,Au,1.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,230.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,230.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,74.6
11,30,Au,1.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,260.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,260.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,85.0
12,33,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,200.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,72.2
13,36,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,230.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,230.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,91.2
14,39,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,260.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,260.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,93.4
15,42,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,200.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,71.3
16,45,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,230.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,230.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,87.3
17,48,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,260.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,260.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,92.8
18,53,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,500,5.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,200.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,1.27
19,101,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,500,5.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,200.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,0.813
20,109,Pt,1.0,0,0.0,IWI,CP,350,4.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,325.0,40.0,0.0,1.5,50.0,0.0,0.0,60.0,0.138,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,350,4.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,325.0,40.0,0.0,1.5,50.0,0.0,0.0,60.0,0.138,78.7
21,113,Pt,1.0,0,0.0,IWI,CP,350,4.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,325.0,40.0,0.0,1.5,50.0,0.0,0.0,60.0,0.138,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,350,4.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,325.0,40.0,0.0,1.5,50.0,0.0,0.0,60.0,0.138,73.3
22,175,Au,3.0,0,0.0,DP,0,400,3.0,HAP,0,1.0,0.0,0,0.0,0,0.0,300.0,0.0,0.0,5.1,0.0,0.0,0.0,60.0,32.135,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,400,3.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,300.0,0.0,0.0,5.1,0.0,0.0,0.0,60.0,32.135,94.7
23,190,Au,3.0,0,0.0,DP,0,400,3.0,HAP,0,1.0,0.0,0,0.0,0,0.0,300.0,0.0,0.0,5.1,0.0,0.0,0.0,60.0,32.135,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,400,3.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,300.0,0.0,0.0,5.1,0.0,0.0,0.0,60.0,32.135,22.1
24,285,Au,3.0,0,0.0,DP,0,400,2.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,423.0,0.0,0.0,4.498,30.7,0.0,0.0,60.0,14.85,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,400,2.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,423.0,0.0,0.0,4.498,30.7,0.0,0.0,60.0,14.85,30.1
25,286,Au,3.0,0,0.0,DP,0,400,2.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,473.0,0.0,0.0,4.498,30.7,0.0,0.0,60.0,14.85,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,400,2.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,473.0,0.0,0.0,4.498,30.7,0.0,0.0,60.0,14.85,59.7
26,287,Au,3.0,0,0.0,DP,0,400,2.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,523.0,0.0,0.0,4.498,30.7,0.0,0.0,60.0,14.85,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,400,2.0,0.0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,523.0,0.0,0.0,4.498,30.7,0.0,0.0,60.0,14.85,89.3
