,Base,Base_weight,Base2,Base2_weight,Prep,Prep2,Calc.T,Calc.t,Support,Support2,Support_frac,Support2_frac,Promoter,Promoter_weight,Promoter2,Promoter2_weight,T,H2,O2,CO,H2O,CO2,CH4,TOS,F/W,conversion
33,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,72.2
34,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,1.04,51.2
35,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,0.69,40.3
36,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,230.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,91.2
37,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,230.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,1.04,82.2
38,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,230.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,0.69,75.8
39,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,260.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,93.4
40,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,260.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,1.04,90.2
41,Au,3.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,260.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,0.69,86.4
42,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,71.3
43,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,1.04,59.2
44,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,0.69,45.9
45,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,230.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,87.3
46,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,230.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,1.04,81.8
47,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,230.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,0.69,74.6
48,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,260.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,2.0,92.8
49,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,260.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,1.04,92.2
50,Au,5.0,0,0.0,DP,0,25,0.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,260.0,0.0,0.0,4.498,30.6,0.0,0.0,60.0,0.69,91.9
51,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,120.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,1.41
52,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,160.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,0.282
53,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,1.27
54,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,240.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,5.77
55,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,280.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,14.2
56,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,320.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,17.3
57,Pt,1.0,0,0.0,SGP,0,500,5.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,360.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,18.3
58,Au,1.0,0,0.0,CP,0,400,2.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,120.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,0.563
59,Au,1.0,0,0.0,CP,0,400,2.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,160.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,0.282
60,Au,1.0,0,0.0,CP,0,400,2.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,200.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,0.986
61,Au,1.0,0,0.0,CP,0,400,2.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,240.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,5.21
62,Au,1.0,0,0.0,CP,0,400,2.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,280.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,8.31
63,Au,1.0,0,0.0,CP,0,400,2.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,320.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,9.15
64,Au,1.0,0,0.0,CP,0,400,2.0,CeO2,0,1.0,0.0,0,0.0,0,0.0,360.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,5.63
65,Au,3.0,0,0.0,DP,0,400,2.0,Fe2O3,0,1.0,0.0,0,0.0,0,0.0,120.0,0.0,0.0,4.0,2.6,0.0,0.0,60.0,2.0,0.282
